permutation,loss,accuracy,avg_mse,stopped,model_path,loss_path
0_001_0_3_64__32_8_4_2,0.000026,1.0,8.6575e-7,54,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_0_001_0_3_64__32_8_4_2.h5,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_loss_0_001_0_3_64__32_8_4_2.csv
0_001_0_3_64__32_8_4_3,0.000086,1.0,0.000004,49,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_0_001_0_3_64__32_8_4_3.h5,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_loss_0_001_0_3_64__32_8_4_3.csv
0_001_0_3_64__32_8_4_4,0.000099,1.0,0.000004,51,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_0_001_0_3_64__32_8_4_4.h5,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_loss_0_001_0_3_64__32_8_4_4.csv
0_001_0_3_64__32_8_4_8,0.00008,1.0,0.000003,54,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_0_001_0_3_64__32_8_4_8.h5,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_loss_0_001_0_3_64__32_8_4_8.csv
0_001_0_3_64__32__16_8_4_2,0.000099,1.0,0.000003,50,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_0_001_0_3_64__32__16_8_4_2.h5,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_loss_0_001_0_3_64__32__16_8_4_2.csv
0_001_0_3_64__32__16_8_4_3,0.00008,1.0,0.000003,57,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_0_001_0_3_64__32__16_8_4_3.h5,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_loss_0_001_0_3_64__32__16_8_4_3.csv
0_001_0_3_64__32__16_8_4_4,0.000005,1.0,1.6910e-7,55,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_0_001_0_3_64__32__16_8_4_4.h5,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_loss_0_001_0_3_64__32__16_8_4_4.csv
0_001_0_3_64__32__16_8_4_8,0.000039,1.0,0.000001,59,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_0_001_0_3_64__32__16_8_4_8.h5,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_loss_0_001_0_3_64__32__16_8_4_8.csv
0_001_0_3_128__64_8_4_2,0.000095,1.0,0.000003,49,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_0_001_0_3_128__64_8_4_2.h5,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_loss_0_001_0_3_128__64_8_4_2.csv
0_001_0_3_128__64_8_4_3,0.000058,1.0,0.000002,53,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_0_001_0_3_128__64_8_4_3.h5,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_loss_0_001_0_3_128__64_8_4_3.csv
